time and date, Voltage of depth sensor (V), Depth (m)
2022-09-04T11:50:21,0.716,-0.13
2022-09-04T11:50:24,0.716,-0.13
2022-09-04T11:50:27,0.716,-0.13
2022-09-04T11:50:31,1.12,12.74
2022-09-04T11:50:34,0.716,-0.13
2022-09-04T11:50:37,1.074,11.28
2022-09-04T11:50:40,1.154,13.82
2022-09-04T11:50:43,0.716,-0.13
2022-09-04T11:50:46,1.034,10.0
2022-09-04T11:50:49,1.234,16.37
2022-09-04T11:50:52,1.212,15.67
2022-09-04T11:50:55,0.714,-0.19
2022-09-04T11:50:58,0.716,-0.13
2022-09-04T11:51:01,0.716,-0.13
2022-09-04T11:51:04,0.716,-0.13
2022-09-04T11:51:07,0.716,-0.13
