time and date, Voltage of depth sensor (V), Depth (m)
2022-09-03T18:01:18,0.716,-0.13
2022-09-03T18:01:21,0.716,-0.13
2022-09-03T18:01:24,0.714,-0.19
2022-09-03T18:01:27,0.716,-0.13
2022-09-03T18:01:30,0.714,-0.19
2022-09-03T18:01:33,0.716,-0.13
2022-09-03T18:01:36,0.716,-0.13
2022-09-03T18:01:39,0.716,-0.13
2022-09-03T18:01:42,0.716,-0.13
2022-09-03T18:01:45,0.714,-0.19
2022-09-03T18:01:48,0.714,-0.19
2022-09-03T18:01:51,0.714,-0.19
2022-09-03T18:01:54,0.714,-0.19
2022-09-03T18:01:57,0.716,-0.13
2022-09-03T18:02:00,0.716,-0.13
2022-09-03T18:02:03,0.714,-0.19
2022-09-03T18:02:06,0.714,-0.19
2022-09-03T18:02:09,0.714,-0.19
2022-09-03T18:02:12,0.714,-0.19
2022-09-03T18:02:15,0.714,-0.19
2022-09-03T18:02:18,0.716,-0.13
2022-09-03T18:02:21,0.716,-0.13
2022-09-03T18:02:24,0.714,-0.19
2022-09-03T18:02:27,0.714,-0.19
2022-09-03T18:02:30,0.714,-0.19
2022-09-03T18:02:33,0.714,-0.19
2022-09-03T18:02:36,0.714,-0.19
2022-09-03T18:02:39,0.716,-0.13
2022-09-03T18:02:42,0.714,-0.19
2022-09-03T18:02:45,0.714,-0.19
2022-09-03T18:02:48,0.714,-0.19
2022-09-03T18:02:51,0.714,-0.19
2022-09-03T18:02:54,0.714,-0.19
2022-09-03T18:02:57,0.714,-0.19
2022-09-03T18:03:00,0.714,-0.19
2022-09-03T18:03:03,0.714,-0.19
2022-09-03T18:03:06,0.714,-0.19
2022-09-03T18:03:09,0.714,-0.19
2022-09-03T18:03:12,0.714,-0.19
2022-09-03T18:03:15,0.714,-0.19
2022-09-03T18:03:18,0.716,-0.13
2022-09-03T18:03:21,0.716,-0.13
2022-09-03T18:03:24,0.714,-0.19
2022-09-03T18:03:27,0.716,-0.13
2022-09-03T18:03:30,0.714,-0.19
2022-09-03T18:03:33,0.714,-0.19
2022-09-03T18:03:36,0.714,-0.19
2022-09-03T18:03:39,0.714,-0.19
